name,section,query,name,name_desc,desc,lib,return_vals,env,files,exit_status,diagnostics,errors,md5_hash,machine,total_score
fstab,5,fstab,11.971392,0.000000,0.000257,0.000000,0.000000,0.000000,0.001434,0.000000,0.000000,0.000000,0.000000,0.000000,11.973083
boot,8,system,0.000000,0.025567,0.000020,0.000000,0.000000,0.000000,0.000237,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000011,0.000000,0.000000,0.000000,0.000237,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000010,0.000000,0.000000,0.000000,0.000237,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000000,0.000000,0.000000,0.000000,0.000237,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000009,0.000000,0.000000,0.000000,0.000133,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000014,0.000000,0.000000,0.000000,0.000065,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000018,0.000000,0.000000,0.000000,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000020,0.000000,0.000000,0.000000,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000013,0.000000,0.000000,0.000000,0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000006,0.000000,0.000000,0.000000,0.000044,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000008,0.000000,0.000000,0.000000,0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000006,0.000000,0.000000,0.000000,0.000037,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000024,0.000000,0.000000,0.000000,0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000021,0.000000,0.000000,0.000000,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000010,0.000000,0.000000,0.000000,0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000009,0.000000,0.000000,0.000000,0.000024,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000020,0.000000,0.000000,0.000000,0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
boot,8,system,0.000000,0.025567,0.000017,0.000000,0.000000,0.000000,0.000014,0.000000,0.000000,0.000000,0.000000,0.000000,11.864400
